,Tourist Sites,Near_T_Hub,Trans_Dist,Near_GP,GP_Dist,PostCode
74,EDEN VILLA,Portadown Rail Station,1.32,Dr. SHARPE & PARTNERS               ,1.08,BT62 3NJ
75,LISGOOLE ABBEY,Enniskillen Bus Station,2.27,Dr. MAGUIRE & PARTNERS              ,2.93,BT13 1AD
76,CASTLE COOLE,Enniskillen Bus Station,2.49,Dr. MAGUIRE & PARTNERS              ,2.51,BT13 1AD
77,FORT HILL GARDENS,Enniskillen Bus Station,0.53,Dr. MAGUIRE & PARTNERS              ,0.5,BT13 1AD
78,ELY LODGE,Enniskillen Bus Station,8.46,Dr. MAGUIRE & PARTNERS              ,8.14,BT13 1AD
79,CASTLETOWN MANOR / MONEA,Enniskillen Bus Station,8.94,Dr. MAGUIRE & PARTNERS              ,8.83,BT13 1AD
80,CLIFTON HOUSE,Belfast - Laganside Bus Station,0.89,Dr. MAGUIRE & PARTNERS              ,0.25,BT13 1AD
81,BELLEVUE,Enniskillen Bus Station,3.35,Dr. MAGUIRE & PARTNERS              ,3.73,BT13 1AD
82,CROCKNACREEVE,Enniskillen Bus Station,7.45,Dr. MAGUIRE & PARTNERS              ,6.75,BT13 1AD
83,KILLYREAGH,Enniskillen Bus Station,4.18,Dr. MAGUIRE & PARTNERS              ,4.19,BT13 1AD
84,WOODVALE PARK,Belfast - Europa/Gvs,2.35,Dr. HUTCHINSON & PARTNERS           ,0.22,BT13 3BW
85,GLENCAIRN and FERNHILL,Belfast - Europa/Gvs,3.45,Dr. AGAHI & PARTNERS                ,0.93,BT14 7GB
86,GLENBANK,Belfast - Yorkgate Rail Station,3.94,Dr. GILMORE & PARTNERS              ,0.13,BT14 8BY
87,ALEXANDRA PARK,Belfast - Yorkgate Rail Station,1.01,Dr. BURNS & PARTNERS                ,0.51,BT15 2GE
88,GLENDARRAGH,Crumlin Rail Halt,1.1,Dr. BYRNE & PARTNERS                ,1.59,BT29 4LA
